Devis_ID	Unité	Client	Type_Travail	Montant_HT	Coefficient	Numéro_OA	Count_OA	Statut	État	Description	Date_RFQ	Acheteur
PI124176	SABC_Ndokoti	Boissons du Cameroun	Fourniture	1231680	1.5	Lost	0	Terminé	Closed	PDR pour Asservissement lubrification zone Pal-Dpal	2024-05-07	Cedric NGAKAM
PI22600	SABC_Bafoussam	Boissons du Cameroun	Placement_RH	669162	1.5	Regul	1	Terminé	Closed	TRAVAUX D'ENTRETIEN FIN DE SEMAINE 52	2022-12-31	Anicet GHISLAIN FOKA
PI23000	SABC_Yaounde	Boissons du Cameroun	Placement_RH	3600000	1	3359069	1	Terminé	Closed	ASSISTANCE METROLOGUE (MAINTENANCE DES EQUIPEMENTS DE CONTROLE)	2023-12-31	Olivier Talteng
PI23010	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	3367630	2	7300000699	1	Terminé	Closed	REHABILITATION DES SIRENES D'ALARME MBOPPI/PORT DE PECHE	2023-12-31	Francois OUNKAP
PI23043	GRACEDOM Souza	Gracedom Invest	Installation	1230000	1.5	P00639	1	Terminé	Closed	intervention automaticien usine COCA COLA Spuza	2023-03-26	LOOH NDI SONDO
PI23048	GRACEDOM Souza	Gracedom Invest	Formation	6375000	2	P00106	1	Terminé	Closed	formation type initiation à l'automatisme industrielle orientation maintenance usine COCA COLA Souza	2023-03-26	Raoul Djampou
PI23052	SCDP Depot de Bessengue	SCDP	Fourniture_Pose	1983792	1.5	7300000696	1	Terminé	Closed	REHABILITATION DES PROJECTEURS DES MIRADORS	2023-12-07	Francois OUNKAP
PI23054	SABC_Bafoussam	Boissons du Cameroun	Fourniture_Pose	2598000	1.6	3392581	1	Terminé	Closed	fourniture et installation des lampadaires solaires 100w et 80wAU CC Bafoussam autonomie 12H usine de Bafoussam	2023-04-19	Joseph DJIEUBOU 
PI23061	SABC_Bafoussam	Boissons du Cameroun	Fourniture_Pose	2954000	1.8	3392572	1	Terminé	Closed	fourniture et installation des lampadaires solaires 100w et 80wAU CC Bafoussam autonomie 12H usine de Bafoussam	2023-04-19	Joseph DJIEUBOU 
PI23064	SABC_Yaounde	Boissons du Cameroun	Placement_RH	921000	1.8	3378895	1	Terminé	Closed	travaux d'assistance technique, mise en service agitateurs dans les conges sirop pour production ORANGINA usine de Yaoundé	2023-05-15	Hassan FOUAPON KOUOTOU
PI23081	SIAC	Boissons du Cameroun	Fourniture_Pose	141300	1.4	3407305	1	Terminé	Closed	maintenance éclairage salle réunion et installation électrique pour exploitation d'une cafétière	2023-10-20	Christel TCHATO
PI23084	SABC_Koumassi	Boissons du Cameroun	Formation	12000299	1.7	3407190	1	Terminé	Closed	Formation TIA PORTAL - SABC	2023-07-04	Jeanny Orelie TIENTCHEU 
PI23084A	SABC_Bafoussam	Boissons du Cameroun	Placement_RH	67500	2	Lost	0	Terminé	Closed	TRAVAUX POUR ENTRETIEN FIN DE SEMAINE 46  DES CHAINES 4 et 6	2023-11-18	Aurelien Kouanda Missambi
PI23087	SABC_Bafoussam	Boissons du Cameroun	Placement_RH	67500	2	3428954	1	Terminé	Closed	Travaux pour entretien fin semaine 52 chaine 6	2023-12-26	Joseph DJIEUBOU 
PI23090	PROCUBEST	PROCUBEST	Fourniture_Pose	2853803.42	1.2	Lost	0	Terminé	Closed	Mise a Niveau Parc Adduction d'eau CAMWATER	2023-12-24	Albert Dipita
PI23091	SABC_Bafoussam	Boissons du Cameroun	Fourniture_Pose	3390000	3	Lost	0	Terminé	Closed	SIMATIC MICROBOS PC 427B-RTX POUR TRANSPORTEUR DE BOUTEILLES CHAINE 5. AVEC L'ASSISTANCE OBLIGATOIRE D'UN MONTEUR POUR MISE EN SERVICE.	2023-12-20	Jean Bossango
PI23233	SEMC	SEMC	Fourniture_Pose	3102356	1.4	3375790	1	Terminé	Closed	mise en place des interrupteurs de sécurité pour motopompe TDE SGX (ILS)	2023-05-03	Rosine Kati
